YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,19.32,20.89,24.95,28.22,29.76,29.85,28.24,27.33,27.23,26.33,22.92,20.05,25.42,20.11,27.64,28.16,23.1
1902,20.17,21.58,25.73,28.15,30,29.47,27.99,27.71,26.76,25.33,22.43,19.77,25.42,20.88,27.96,27.98,22.51
1903,19.28,20.71,23.92,27.67,29.47,29.53,28.32,27.16,27,25.69,22.01,19.3,25.01,19.99,27.02,28,22.33
1904,19.19,20.32,24.41,28.11,29.17,28.8,27.36,27.26,26.84,25.67,22.16,19.86,24.93,19.76,27.23,27.57,22.56
1905,18.34,18.37,23.15,26.26,29.73,29.87,28.13,27.65,27.16,26.35,23.24,19.79,24.84,18.36,26.38,28.2,23.13
1906,19.05,20.45,23.59,28.04,30.55,29.01,27.95,27.19,26.99,25.81,23.04,20.47,25.18,19.75,27.39,27.78,23.11
1907,20.28,20.75,23.53,27.1,28.95,28.91,28.1,26.89,27.06,26,23.16,19.48,25.02,20.51,26.53,27.74,22.88
1908,19.2,21.03,24.32,28.72,29.54,29.58,27.45,26.86,26.7,25.43,22.07,19.12,25,20.12,27.53,27.65,22.21
1909,19.38,20.79,25.08,26.95,29.4,28.45,27.12,26.87,26.83,25.64,23.1,19.96,24.96,20.08,27.14,27.32,22.9
1910,19.3,21.17,24.5,27.66,29.71,28.59,27.42,27.03,26.72,25.21,21.81,19.01,24.84,20.24,27.29,27.44,22.01
1911,19.99,20.68,23.49,27.44,29.94,28.78,28.2,27.4,26.93,25.76,22.54,19.88,25.08,20.34,26.95,27.83,22.72
1912,19.73,22.05,24.44,27.64,29.87,29.82,27.82,27.14,26.75,25.63,22.09,19.44,25.2,20.89,27.31,27.88,22.39
1913,19.3,21.26,23.59,28.25,29.19,28.44,27.54,27.29,27.03,25.69,22.13,19.69,24.95,20.28,27.01,27.57,22.5
1914,19.92,21.09,24.12,27.03,29.62,29.2,27.65,26.98,27,25.31,23.05,19.89,25.07,20.51,26.92,27.71,22.75
1915,19.53,20.65,24.31,27.75,30.3,29.75,28.36,27.74,27.46,26.56,23.45,19.43,25.44,20.09,27.45,28.33,23.14
1916,19.54,20.87,25.61,28.26,29.71,28.4,27.63,27.17,26.79,25.63,22.22,19.17,25.08,20.2,27.86,27.5,22.34
1917,19.3,21.01,23.91,26.84,27.73,28.21,27.55,27.07,26.37,25.07,21.89,19.47,24.54,20.16,26.16,27.3,22.14
1918,18.62,20.89,24.22,26.86,29.38,28.26,28.4,27.38,27.07,25.92,22.96,19.55,24.96,19.75,26.82,27.78,22.81
